	 its 	 r 	 ds 	 Newton iteration 	 flag 	 tol 	 residual 	 F(u;r) 	 iterations needed 
  11 	-0.1845992009 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00013547 	 0.000358954294 	  6.0 
  11 	-0.1853135172 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000160 	 0.000043025831 	 15.0 
  11 	-0.1853135475 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00042365 	 0.000000108301 	 21.0 
  11 	-0.1853153130 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00099314 	 0.000000000251 	 48.0 
  12 	 -0.1813498957 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057915369944 	 --- 
  12 	-0.1813563040 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00013442 	 0.000357865651 	  6.0 
  12 	-0.1820699004 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000135 	 0.000043005551 	 15.0 
  12 	-0.1820699306 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00042056 	 0.000000110634 	 21.0 
  12 	-0.1820717073 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00078770 	 0.000000000254 	 51.0 
  13 	 -0.1781345983 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057470300222 	 --- 
  13 	-0.1781409315 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00013339 	 0.000356753797 	  6.0 
  13 	-0.1788537720 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000135 	 0.000042984644 	 15.0 
  13 	-0.1788538021 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00041749 	 0.000000113043 	 21.0 
  13 	-0.1788555902 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00088154 	 0.000000000258 	 49.0 
  14 	 -0.1749469520 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057023893564 	 --- 
  14 	-0.1749532103 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00013235 	 0.000355618279 	  6.0 
  14 	-0.1756652584 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000154 	 0.000042963097 	 15.0 
  14 	-0.1756652885 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00041446 	 0.000000115522 	 21.0 
  14 	-0.1756670879 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00096496 	 0.000000000261 	 52.0 
  15 	 -0.1717870828 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.056576145552 	 --- 
  15 	-0.1717932665 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00013131 	 0.000354458637 	  6.0 
  15 	-0.1725044851 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000139 	 0.000042940896 	 15.0 
  15 	-0.1725045151 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00041141 	 0.000000118081 	 21.0 
  15 	-0.1725063260 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00092523 	 0.000000000266 	 53.0 
  16 	 -0.1686551158 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.056127052250 	 --- 
  16 	-0.1686612253 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00013028 	 0.000353274406 	  6.0 
  16 	-0.1693715766 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000163 	 0.000042918024 	 15.0 
  16 	-0.1693716065 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00040841 	 0.000000120721 	 21.0 
  16 	-0.1693734291 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00096579 	 0.000000000269 	 54.0 
  17 	 -0.1655511753 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.055676610218 	 --- 
  17 	-0.1655572110 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00012924 	 0.000352065113 	  6.0 
  17 	-0.1662666566 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000171 	 0.000042894467 	 15.0 
  17 	-0.1662666865 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00040540 	 0.000000123439 	 21.0 
  17 	-0.1662685208 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00079212 	 0.000000000273 	 55.0 
  18 	 -0.1624753848 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.055224816582 	 --- 
  18 	-0.1624813468 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00012821 	 0.000350830279 	  6.0 
  18 	-0.1631898479 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000166 	 0.000042870206 	 15.0 
  18 	-0.1631898777 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00040240 	 0.000000126240 	 21.0 
  18 	-0.1631917239 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00091696 	 0.000000000278 	 53.0 
  19 	 -0.1594278663 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.054771669012 	 --- 
  19 	-0.1594337550 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00012718 	 0.000349569416 	  6.0 
  19 	-0.1601412720 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000162 	 0.000042845225 	 15.0 
  19 	-0.1601413018 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00039941 	 0.000000129132 	 21.0 
  19 	-0.1601431600 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00084725 	 0.000000000282 	 54.0 
  20 	 -0.1564087411 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.054317165800 	 --- 
  20 	-0.1564145568 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00012615 	 0.000348282032 	  6.0 
  20 	-0.1571210496 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000227 	 0.000042819503 	 15.0 
  20 	-0.1571210794 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00039656 	 0.000000132138 	 21.0 
  20 	-0.1571229496 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00097070 	 0.000000000285 	 51.0 
  21 	 -0.1534181292 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.053861305840 	 --- 
  21 	-0.1534238723 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00012513 	 0.000346967629 	  6.0 
  21 	-0.1541293001 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000173 	 0.000042793024 	 15.0 
  21 	-0.1541293297 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00039349 	 0.000000135208 	 21.0 
  21 	-0.1541312122 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00054133 	 0.000000000290 	 55.0 
  22 	 -0.1504561493 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.053404088702 	 --- 
  22 	-0.1504618200 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00012410 	 0.000345625700 	  6.0 
  22 	-0.1511661414 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000183 	 0.000042765765 	 15.0 
  22 	-0.1511661710 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00039057 	 0.000000138404 	 21.0 
  22 	-0.1511680657 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00077191 	 0.000000000295 	 50.0 
  23 	 -0.1475229188 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.052945514609 	 --- 
  23 	-0.1475285174 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00012308 	 0.000344255734 	  6.0 
  23 	-0.1482316903 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000219 	 0.000042737704 	 15.0 
  23 	-0.1482317199 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00038771 	 0.000000141710 	 21.0 
  23 	-0.1482336271 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00096914 	 0.000000000299 	 52.0 
  24 	 -0.1446185537 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.052485584543 	 --- 
  24 	-0.1446240806 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00012206 	 0.000342857214 	  6.0 
  24 	-0.1453260623 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000185 	 0.000042708821 	 15.0 
  24 	-0.1453260918 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00038473 	 0.000000145108 	 21.0 
  24 	-0.1453280116 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00096095 	 0.000000000305 	 56.0 
  25 	 -0.1417431685 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.052024300209 	 --- 
  25 	-0.1417486240 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00012104 	 0.000341429617 	  6.0 
  25 	-0.1424493712 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000191 	 0.000042679091 	 15.0 
  25 	-0.1424494006 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00038184 	 0.000000148639 	 21.0 
  25 	-0.1424513331 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00098606 	 0.000000000308 	 56.0 
  26 	 -0.1388968763 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.051561664097 	 --- 
  26 	-0.1389022606 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00012003 	 0.000339972413 	  6.0 
  26 	-0.1396017293 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000183 	 0.000042648488 	 15.0 
  26 	-0.1396017587 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00037894 	 0.000000152287 	 21.0 
  26 	-0.1396037040 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00090021 	 0.000000000315 	 57.0 
  27 	 -0.1360797883 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.051097679520 	 --- 
  27 	-0.1360851019 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00011901 	 0.000338485068 	  6.0 
  27 	-0.1367832473 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000356 	 0.000042616984 	 15.0 
  27 	-0.1367832766 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00037673 	 0.000000156178 	 21.0 
  27 	-0.1367852349 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00099729 	 0.000000000318 	 54.0 
  28 	 -0.1332920141 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.050632350638 	 --- 
  28 	-0.1332972573 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00011800 	 0.000336967043 	  6.0 
  28 	-0.1339940341 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000214 	 0.000042584561 	 15.0 
  28 	-0.1339940634 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00037330 	 0.000000159998 	 21.0 
  28 	-0.1339960348 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00088218 	 0.000000000323 	 56.0 
  29 	 -0.1305336616 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.050165682513 	 --- 
  29 	-0.1305388346 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00011699 	 0.000335417796 	  6.0 
  29 	-0.1312341970 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000193 	 0.000042551180 	 15.0 
  29 	-0.1312342262 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00037043 	 0.000000164059 	 21.0 
  29 	-0.1312362108 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00093700 	 0.000000000328 	 54.0 
  30 	 -0.1278048367 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.049697681113 	 --- 
  30 	-0.1278099399 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00011598 	 0.000333836776 	  6.0 
  30 	-0.1285038410 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000209 	 0.000042516815 	 15.0 
  30 	-0.1285038701 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00036766 	 0.000000168274 	 21.0 
  30 	-0.1285058682 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00098016 	 0.000000000336 	 58.0 
  31 	 -0.1251056432 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.049228353387 	 --- 
  31 	-0.1251106770 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00011498 	 0.000332223432 	  6.0 
  31 	-0.1258030693 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000429 	 0.000042481428 	 15.0 
  31 	-0.1258030984 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00036590 	 0.000000172731 	 21.0 
  31 	-0.1258051100 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00089406 	 0.000000000340 	 59.0 
  32 	 -0.1224361831 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.048757707284 	 --- 
  32 	-0.1224411477 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00011397 	 0.000330577208 	  6.0 
  32 	-0.1231319833 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000344 	 0.000042444999 	 15.0 
  32 	-0.1231320124 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00036268 	 0.000000177243 	 21.0 
  32 	-0.1231340376 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00094740 	 0.000000000346 	 59.0 
  33 	 -0.1197965558 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.048285751789 	 --- 
  33 	-0.1198014517 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00011297 	 0.000328897546 	  6.0 
  33 	-0.1204906818 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000359 	 0.000042407483 	 15.0 
  33 	-0.1204907108 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00035996 	 0.000000181945 	 21.0 
  33 	-0.1204927498 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00074171 	 0.000000000352 	 60.0 
  34 	 -0.1171868589 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.047812496985 	 --- 
  34 	-0.1171916863 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00011197 	 0.000327183883 	  6.0 
  34 	-0.1178792614 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000303 	 0.000042368846 	 15.0 
  34 	-0.1178792903 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00035700 	 0.000000186850 	 21.0 
  34 	-0.1178813434 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00093780 	 0.000000000358 	 56.0 
  35 	 -0.1146071873 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.047337954070 	 --- 
  35 	-0.1146119466 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00011097 	 0.000325435656 	  6.0 
  35 	-0.1152978165 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000299 	 0.000042329049 	 15.0 
  35 	-0.1152978453 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00035425 	 0.000000191926 	 21.0 
  35 	-0.1152999125 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00099992 	 0.000000000364 	 60.0 
  36 	 -0.1120576335 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.046862135424 	 --- 
  36 	-0.1120623250 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00010998 	 0.000323652300 	  6.0 
  36 	-0.1127464387 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000337 	 0.000042288049 	 15.0 
  36 	-0.1127464675 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00035185 	 0.000000197241 	 21.0 
  36 	-0.1127485489 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00090748 	 0.000000000370 	 61.0 
  37 	 -0.1095382874 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.046385054634 	 --- 
  37 	-0.1095429114 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00010899 	 0.000321833248 	  6.0 
  37 	-0.1102252173 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000272 	 0.000042245808 	 15.0 
  37 	-0.1102252461 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00034886 	 0.000000202716 	 21.0 
  37 	-0.1102273419 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00091907 	 0.000000000378 	 62.0 
  38 	 -0.1070492361 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.045906726551 	 --- 
  38 	-0.1070537930 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00010800 	 0.000319977934 	  6.0 
  38 	-0.1077342387 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000315 	 0.000042202277 	 15.0 
  38 	-0.1077342675 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00034639 	 0.000000208461 	 21.0 
  38 	-0.1077363778 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00078859 	 0.000000000385 	 63.0 
  39 	 -0.1045905640 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.045427167332 	 --- 
  39 	-0.1045950542 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00010701 	 0.000318085792 	  6.0 
  39 	-0.1052735866 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000455 	 0.000042157406 	 15.0 
  39 	-0.1052736153 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00034489 	 0.000000214507 	 21.0 
  39 	-0.1052757404 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00097008 	 0.000000000391 	 59.0 
  40 	 -0.1021623526 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.044946394487 	 --- 
  40 	-0.1021667764 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00010602 	 0.000316156258 	  6.0 
  40 	-0.1028433417 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000283 	 0.000042111161 	 15.0 
  40 	-0.1028433703 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00034102 	 0.000000220628 	 21.0 
  40 	-0.1028455103 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00074943 	 0.000000000399 	 63.0 
  41 	 -0.0997646803 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.044464426933 	 --- 
  41 	-0.0997690380 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00010504 	 0.000314188769 	  6.0 
  41 	-0.1004435816 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000334 	 0.000042063472 	 15.0 
  41 	-0.1004436101 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00033879 	 0.000000227128 	 21.0 
  41 	-0.1004457652 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00094532 	 0.000000000405 	 58.0 
  42 	 -0.0973976222 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.043981285031 	 --- 
  42 	-0.0974019142 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00010406 	 0.000312182765 	  6.0 
  42 	-0.0980743807 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000300 	 0.000042014296 	 15.0 
  42 	-0.0980744092 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00033613 	 0.000000233872 	 21.0 
  42 	-0.0980765795 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00064010 	 0.000000000416 	 63.0 
  43 	 -0.0950612502 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.043496990651 	 --- 
  43 	-0.0950654770 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00010308 	 0.000310137692 	  6.0 
  43 	-0.0957358102 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000486 	 0.000041963562 	 15.0 
  43 	-0.0957358386 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00033559 	 0.000000241029 	 21.0 
  43 	-0.0957380243 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00086722 	 0.000000000422 	 56.0 
  44 	 -0.0927556329 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.043011567213 	 --- 
  44 	-0.0927597947 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00010210 	 0.000308052999 	  6.0 
  44 	-0.0934279378 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000547 	 0.000041911224 	 15.0 
  44 	-0.0934279662 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00033376 	 0.000000248461 	 21.0 
  44 	-0.0934301675 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00091396 	 0.000000000429 	 61.0 
  45 	 -0.0904808351 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.042525039744 	 --- 
  45 	-0.0904849323 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00010112 	 0.000305928142 	  6.0 
  45 	-0.0911508277 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000484 	 0.000041857223 	 15.0 
  45 	-0.0911508561 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00033016 	 0.000000256005 	 21.0 
  45 	-0.0911530731 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00092918 	 0.000000000438 	 62.0 
  46 	 -0.0882369181 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.042037434927 	 --- 
  46 	-0.0882409511 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00010015 	 0.000303762584 	  6.0 
  46 	-0.0889045404 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000412 	 0.000041801485 	 15.0 
  46 	-0.0889045687 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00032735 	 0.000000264004 	 21.0 
